Data,Hora,Natureza,Idade da Vítima,Corporação,Momento da morte
02/11/2018,08:30:00,HOMICIDIO DOLOSO,60,PM,Fora de serviço
30/04/2021,03:00:00,HOMICIDIO DOLOSO,60,PC,Em serviço
29/04/2017,17:40:00,HOMICIDIO DOLOSO,61,PM,Fora de serviço
05/08/2017,10:30:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),61,PC,Fora de serviço
15/10/2019,10:30:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),62,AGEPEN,Fora de serviço
24/06/2017,20:30:00,HOMICIDIO DOLOSO,63,PM,Fora de serviço
20/01/2018,17:30:00,HOMICIDIO DOLOSO,63,PM,Fora de serviço
03/08/2015,09:29:59,HOMICIDIO DOLOSO,64,PM,Fora de serviço
14/04/2022,21:17:00,HOMICIDIO DOLOSO,65,PM,Fora de serviço
23/05/2016,19:00:00,HOMICIDIO DOLOSO,66,PM,Fora de serviço
18/03/2022,19:09:59,HOMICIDIO DOLOSO,66,PM,Fora de serviço
08/09/2016,20:21:31,HOMICIDIO DOLOSO,68,PM,Fora de serviço
11/11/2018,18:29:59,HOMICIDIO DOLOSO,69,PM,Fora de serviço
21/05/2024,17:30:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),69,PM,Fora de serviço
10/06/2016,10:00:00,HOMICIDIO DOLOSO,72,PM,Fora de serviço
11/11/2022,11:00:00,HOMICIDIO DOLOSO,76,AGEPEN,Fora de serviço
18/01/2020,04:00:00,HOMICIDIO DOLOSO,77,PM,Fora de serviço
10/09/2017,19:00:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),85,PM,Fora de serviço
